0,"
The",DT,,,I-MISC,0,,1
1,Oxford,NNP,DT,"
The",I-MISC,0.665,I-MISC,1
2,Companion,NNP,NNP,Oxford,I-MISC,0.234,I-MISC,1
3,to,TO,NNP,Companion,I-MISC,0.911,I-MISC,0
4,Philosophy,NNP,TO,to,I-MISC,0.685,I-MISC,1
5,says,VBZ,NNP,Philosophy,O,0.804,I-MISC,0
6,",",",",VBZ,says,O,0,O,0
7,"""",LQU,",",",",O,0,O,0
8,there,EX,LQU,"""",O,0.899,O,0
9,is,VBZ,EX,there,O,0.502,O,0
10,no,DT,VBZ,is,O,0.625,O,0
11,single,JJ,DT,no,O,0.831,O,0
12,defining,VBG,JJ,single,O,0.289,O,0
13,position,NN,VBG,defining,O,0.702,O,0
14,that,IN,NN,position,O,0.894,O,0
15,all,DT,IN,that,O,0.087,O,0
16,anarchists,NNS,DT,all,O,0.102,O,0
17,hold,VBP,NNS,anarchists,O,0.455,O,0
18,",",",",VBP,hold,O,0,O,0
19,and,CC,",",",",O,0.104,O,0
20,those,DT,CC,and,O,0.905,O,0
21,considered,VBN,DT,those,O,0.246,O,0
22,anarchists,NNS,VBN,considered,O,0.102,O,0
23,at,IN,NNS,anarchists,O,0.125,O,0
24,best,JJS,IN,at,O,0.156,O,0
25,share,NN,JJS,best,O,0.824,O,0
26,a,DT,NN,share,O,0,O,0
27,certain,JJ,DT,a,O,0.204,O,0
28,family,NN,JJ,certain,O,0.368,O,0
29,resemblance,NN,NN,family,O,0.773,O,0
30,.,.,NN,resemblance,O,0,O,0
31,"""",RQU,.,.,"O
In",0,O,0
32,the,DT,RQU,"""",O,0.895,"O
In",0
33,end,NN,DT,the,O,0.341,O,0
34,",",",",NN,end,O,0,O,0
35,for,IN,",",",",O,0.389,O,0
36,anarchist,JJ,IN,for,O,0.101,O,0
37,historian,JJ,JJ,anarchist,O,0.454,O,0
38,Daniel,NNP,JJ,historian,I-PER,0.277,O,1
39,Guerin,NNP,NNP,Daniel,I-PER,0.428,I-PER,1
40,"""",LQU,NNP,Guerin,O,0,I-PER,0
41,Some,DT,LQU,"""",O,0.841,O,1
42,anarchists,NNS,DT,Some,O,0.102,O,0
43,are,VBP,NNS,anarchists,O,0.115,O,0
44,more,RBR,VBP,are,O,0.598,O,0
45,individualistic,JJ,RBR,more,O,0.48,O,0
46,than,IN,JJ,individualistic,O,0.894,O,0
47,social,JJ,IN,than,O,0.837,O,0
48,",",",",JJ,social,O,0,O,0
49,some,DT,",",",",O,0.841,O,0
50,more,JJR,DT,some,O,0.598,O,0
51,social,JJ,JJR,more,O,0.837,O,0
52,than,IN,JJ,social,O,0.894,O,0
53,individualistic,JJ,IN,than,O,0.48,O,0
54,.,.,JJ,individualistic,"O
From",0,O,0
55,this,DT,.,.,O,0.903,"O
From",0
56,climate,NN,DT,this,O,0.222,O,0
57,William,NNP,NN,climate,I-PER,0.976,O,1
58,Godwin,NNP,NNP,William,I-PER,0.416,I-PER,1
59,developed,VBD,NNP,Godwin,O,0.299,I-PER,0
60,what,WP,VBD,developed,O,0.969,O,0
61,many,NN,WP,what,O,0.56,O,0
62,consider,VBP,NN,many,O,0.245,O,0
63,the,DT,VBP,consider,O,0.895,O,0
64,first,JJ,DT,the,O,0.383,O,0
65,expression,NN,JJ,first,O,0.364,O,0
66,of,IN,NN,expression,O,0.639,O,0
67,modern,JJ,IN,of,O,0.594,O,0
68,anarchist,NN,JJ,modern,O,0.101,O,0
69,thought,NN,NN,anarchist,O,0.906,O,0
70,.,.,NN,thought,"O
Godwin",0,O,0
71,was,VBD,.,.,O,0.96,"O
Godwin",0
72,",",",",VBD,was,O,0,O,0
73,according,VBG,",",",",O,0.058,O,0
74,to,TO,VBG,according,O,0.911,O,0
75,Peter,NNP,TO,to,I-PER,0.683,O,1
76,Kropotkin,NNP,NNP,Peter,I-PER,0.518,I-PER,1
77,",",",",NNP,Kropotkin,O,0,I-PER,0
78,"""",LQU,",",",",O,0,O,0
79,the,DT,LQU,"""",O,0.895,O,0
80,first,JJ,DT,the,O,0.383,O,0
81,to,TO,JJ,first,O,0.911,O,0
82,formulate,VB,TO,to,O,0.393,O,0
83,the,DT,VB,formulate,O,0.895,O,0
84,political,JJ,DT,the,O,0.696,O,0
85,and,CC,JJ,political,O,0.104,O,0
86,economical,JJ,CC,and,O,0.323,O,0
87,conceptions,NNS,JJ,economical,O,0.239,O,0
88,of,IN,NNS,conceptions,O,0.639,O,0
89,anarchism,NN,IN,of,O,0.101,O,0
90,",",",",NN,anarchism,O,0,O,0
91,even,RB,",",",",O,0.351,O,0
92,though,IN,RB,even,O,0.905,O,0
93,he,PRP,IN,though,O,0.438,O,0
94,did,VBD,PRP,he,O,0.302,O,0
95,not,RB,VBD,did,O,0.629,O,0
96,give,VB,RB,not,O,0.414,O,0
97,that,DT,VB,give,O,0.894,O,0
98,name,NN,DT,that,O,0.61,O,0
99,to,TO,NN,name,O,0.911,O,0
100,the,DT,TO,to,O,0.895,O,0
101,ideas,NNS,DT,the,O,0.466,O,0
102,developed,VBN,NNS,ideas,O,0.299,O,0
103,in,IN,VBN,developed,O,0.472,O,0
104,his,PRP$,IN,in,O,0.453,O,0
105,work,NN,PRP$,his,O,0.987,O,0
106,"""",RQU,NN,work,O,0,O,0
107,",",",",RQU,"""",O,0,O,0
108,while,IN,",",",",O,0.972,O,0
109,Godwin,NNP,IN,while,I-PER,0.416,O,1
110,attached,VBD,NNP,Godwin,O,0.125,I-PER,0
111,his,PRP$,VBD,attached,O,0.453,O,0
112,anarchist,NN,PRP$,his,O,0.101,O,0
113,ideas,NNS,NN,anarchist,O,0.466,O,0
114,to,TO,NNS,ideas,O,0.911,O,0
115,an,DT,TO,to,O,0.1,O,0
116,early,JJ,DT,an,O,0.32,O,0
117,Edmund,NNP,JJ,early,I-PER,0.324,O,1
118,Burke,NNP,NNP,Edmund,I-PER,0.182,I-PER,1
119,.,.,NNP,Burke,"O
Its",0,I-PER,0
120,classical,JJ,.,.,O,0.22,"O
Its",0
