,word,pos,prevPOS,PrevWord,iob,Vector,PrevIOB,CaseStatus
1,word,pos,,,iob,0.9882561791615458,,0
2,010,CD,pos,word,I-MISC,0.00040966816878328555,iob,0
3,is,VBZ,CD,010,O,0.4991123856343029,I-MISC,0
4,the,DT,VBZ,is,O,0.9044107606172334,O,0
5,tenth,JJ,DT,the,O,0.900996859210706,O,0
6,album,NN,JJ,tenth,O,0.0707360371432473,O,0
7,from,IN,NN,album,O,0.4033865901952752,O,0
8,Japanese,JJ,IN,from,I-MISC,0.5040284036597024,O,1
9,Punk,NNP,JJ,Japanese,O,0.734535026628431,I-MISC,1
10,Techno,NNP,NNP,Punk,O,0.8975829578041786,O,1
11,band,VBP,NNP,Techno,O,0.11743820838454186,O,0
12,The,DT,VBP,band,I-ORG,0.9044107606172334,O,1
13,Mad,NNP,DT,The,I-ORG,0.5665710774272839,I-ORG,1
14,Capsule,NNP,NNP,Mad,I-ORG,0.17943465792707908,I-ORG,1
15,Markets,NNP,NNP,Capsule,I-ORG,0.5772224498156493,I-ORG,1
16,.,.,NNP,Markets,O,0.0,I-ORG,0
17, ,VB,.,.,O,0.0,O,0
18,This,DT,VB, ,O,0.9080977741362829,O,0
19,album,NN,DT,This,O,0.0707360371432473,O,0
20,proved,VBD,NN,album,O,0.730301788884337,O,0
21,to,TO,VBD,proved,O,0.9151986890618599,O,0
22,be,VB,TO,to,O,0.12617779598525194,O,0
23,more,RBR,VB,be,O,0.6069916700805681,O,0
24,commercial,JJ,RBR,more,O,0.22285948381810733,O,0
25,and,CC,JJ,commercial,O,0.08152396558787382,O,0
26,more,RBR,CC,and,O,0.6069916700805681,O,0
27,techno-based,JJ,RBR,more,O,0.0,O,0
28,than,IN,JJ,techno-based,O,0.903864536392189,O,0
29,Osc-Dis,NNP,IN,than,I-MISC,0.0,O,2
30,",",",",NNP,Osc-Dis,O,0.0,I-MISC,0
31,with,IN,",",",",O,0.985525058036324,O,0
32,heavily,RB,IN,with,O,0.44653830397378125,O,0
33,synthesized,VBN,RB,heavily,O,0.8904820428786017,O,0
34,songs,NNS,VBN,synthesized,O,0.8477399972688788,O,0
35,like,IN,NNS,songs,O,0.5477263416632527,O,0
36,Introduction,NNP,IN,like,I-MISC,0.4958350402840366,O,1
37,010,CD,NNP,Introduction,I-MISC,0.00040966816878328555,I-MISC,0
38,and,CC,CD,010,O,0.08152396558787382,I-MISC,0
39,Come,NNP,CC,and,I-MISC,0.2208111429741909,O,1
40,.,.,NNP,Come,O,0.0,I-MISC,0
41, ,JJ,.,.,O,0.0,O,0
42,Founding,VBG,JJ, ,O,0.39724156766352586,O,0
43,member,NN,VBG,Founding,O,0.5886931585415813,O,0
44,Kojima,NNP,NN,member,I-PER,0.5253311484364331,O,1
45,Minoru,NNP,NNP,Kojima,I-PER,0.6001638672675134,I-PER,1
46,played,VBD,NNP,Minoru,O,0.6991670080568073,I-PER,0
47,guitar,NN,VBD,played,O,0.43247303017888844,O,0
48,on,IN,NN,guitar,O,0.6486412672402021,O,0
49,Good,JJ,IN,on,I-MISC,0.42373344257817835,O,1
50,Day,NNP,JJ,Good,I-MISC,0.2724293322408849,I-MISC,1
51,",",",",NNP,Day,O,0.0,I-MISC,0
52,and,CC,",",",",O,0.08152396558787382,O,0
53,Wardanceis,NNP,CC,and,I-MISC,0.9690017752287314,O,1
54,cover,NN,NNP,Wardanceis,O,0.2544039328144203,I-MISC,0
55,of,IN,NN,cover,O,0.644271473439847,O,0
56,a,DT,IN,of,O,0.0,O,0
57,song,NN,DT,a,O,0.8476034412126178,O,0
58,by,IN,NN,song,O,0.16905639765123584,O,0
59,UK,NNP,IN,by,I-LOC,0.9385497746825072,O,3
60,post,NN,NNP,UK,O,0.7095452683326505,I-LOC,0
61,punk,NN,NN,post,O,0.734535026628431,O,0
62,industrial,JJ,NN,punk,O,0.48340843916427695,O,0
63,band,NN,JJ,industrial,O,0.11743820838454186,O,0
64,Killing,NNP,NN,band,I-ORG,0.5209613546360781,O,1
65,Joke,NNP,NNP,Killing,I-ORG,0.5097637580226683,I-ORG,1
66,.,.,NNP,Joke,O,0.0,I-ORG,0
67, ,CC,.,.,O,0.0,O,0
68,XXX,NNP,CC, ,I-MISC,0.9938549774682507,O,0
69,can,MD,NNP,XXX,I-MISC,0.17451863990167965,I-MISC,0
70,of,IN,MD,can,I-MISC,0.644271473439847,I-MISC,0
71,This,DT,IN,of,I-MISC,0.9080977741362829,I-MISC,1
72,had,VBD,DT,This,O,0.43534070736037145,I-MISC,0
73,a,DT,VBD,had,O,0.0,O,0
74,different,JJ,DT,a,O,0.29318585279257137,O,0
75,meaning,NN,JJ,different,O,0.5850061450225318,O,0
76,",",",",NN,meaning,O,0.0,O,0
77,and,CC,",",",",O,0.08152396558787382,O,0
78,most,JJS,CC,and,O,0.6080841185306568,O,0
79,people,NNS,JJS,most,O,0.6818243889116482,O,0
80,did,VBD,NNS,people,O,0.2923665164550048,O,0
81,n't,RB,VBD,did,O,0.0,O,0
82,understand,VB,RB,n't,O,0.9412808958077291,O,0
83,what,WP,VB,understand,O,0.9778779188857026,O,0
84,the,DT,WP,what,O,0.9044107606172334,O,0
85,song,NN,DT,the,O,0.8476034412126178,O,0
86,was,VBD,NN,song,O,0.9700942236788201,O,0
87,about,RB,VBD,was,O,0.04916018025399427,O,0
88,.,.,RB,about,O,0.0,O,0
89, ,VB,.,.,O,0.0,O,0
90,it,PRP,VB, ,O,0.5004779461969139,O,0
91,was,VBD,PRP,it,O,0.9700942236788201,O,0
92,later,RBR,VBD,was,O,0.5333879557558378,O,0
93,explained,VBD,RBR,later,O,0.3594155400792025,O,0
94,that,IN,VBD,explained,O,0.9042742045609723,O,0
95,the,DT,IN,that,O,0.9044107606172334,O,0
96,song,NN,DT,the,O,0.8476034412126178,O,0
97,was,VBD,NN,song,O,0.9700942236788201,O,0
98,about,IN,VBD,was,O,0.04916018025399427,O,0
99,Cannabis,NNP,IN,about,I-MISC,0.17615731257681277,O,1
100,(,(,NNP,Cannabis,O,0.0,I-MISC,0
101,',POS,(,(,O,0.0,O,0
102,can,MD,POS,',O,0.17451863990167965,O,0
103,of,IN,MD,can,O,0.644271473439847,O,0
104,this,DT,IN,of,O,0.9080977741362829,O,0
105,',POS,DT,this,O,0.0,O,0
106,sounding,VBG,POS,',O,0.8497883381127953,O,0
107,like,IN,VBG,sounding,O,0.5477263416632527,O,0
108,Cannabis,NNP,IN,like,I-MISC,0.17615731257681277,O,1
109,when,WRB,NNP,Cannabis,O,0.978560699167008,I-MISC,0
110,said,VBD,WRB,when,O,0.7946196913833129,O,0
111,faster,RBR,VBD,said,O,0.37047658063635125,O,0
112,),),RBR,faster,O,0.0,O,0
113,it,PRP,),),O,0.5004779461969139,O,0
114,is,VBZ,PRP,it,O,0.4991123856343029,O,0
115,uncertain,JJ,VBZ,is,O,0.9395056670763349,O,0
116,if,IN,JJ,uncertain,O,0.4719377304383449,O,0
117,they,PRP,IN,if,O,0.9068687696299331,O,0
118,were,VBD,PRP,they,O,0.9762392462105695,O,0
119,told,VBN,VBD,were,O,0.9165642496244708,O,0
120,to,TO,VBN,told,O,0.9151986890618599,O,0
