,word,pos,iob
0,010,CD,I-MISC
1,is,VBZ,O
2,the,DT,O
3,tenth,JJ,O
4,album,NN,O
5,from,IN,O
6,Japanese,JJ,I-MISC
7,Punk,NNP,O
8,Techno,NNP,O
9,band,VBP,O
10,The,DT,I-ORG
11,Mad,NNP,I-ORG
12,Capsule,NNP,I-ORG
13,Markets,NNP,I-ORG
14,.,.,O
15, ,VB,O
16,This,DT,O
17,album,NN,O
18,proved,VBD,O
19,to,TO,O
20,be,VB,O
21,more,RBR,O
22,commercial,JJ,O
23,and,CC,O
24,more,RBR,O
25,techno-based,JJ,O
26,than,IN,O
27,Osc-Dis,NNP,I-MISC
28,",",",",O
29,with,IN,O
30,heavily,RB,O
31,synthesized,VBN,O
32,songs,NNS,O
33,like,IN,O
34,Introduction,NNP,I-MISC
35,010,CD,I-MISC
36,and,CC,O
37,Come,NNP,I-MISC
38,.,.,O
39, ,JJ,O
40,Founding,VBG,O
41,member,NN,O
42,Kojima,NNP,I-PER
43,Minoru,NNP,I-PER
44,played,VBD,O
45,guitar,NN,O
46,on,IN,O
47,Good,JJ,I-MISC
48,Day,NNP,I-MISC
49,",",",",O
50,and,CC,O
51,Wardanceis,NNP,I-MISC
52,cover,NN,O
53,of,IN,O
54,a,DT,O
55,song,NN,O
56,by,IN,O
57,UK,NNP,I-LOC
58,post,NN,O
59,punk,NN,O
60,industrial,JJ,O
61,band,NN,O
62,Killing,NNP,I-ORG
63,Joke,NNP,I-ORG
64,.,.,O
65, ,CC,O
66,XXX,NNP,I-MISC
67,can,MD,I-MISC
68,of,IN,I-MISC
69,This,DT,I-MISC
70,had,VBD,O
71,a,DT,O
72,different,JJ,O
73,meaning,NN,O
74,",",",",O
75,and,CC,O
76,most,JJS,O
77,people,NNS,O
78,did,VBD,O
79,n't,RB,O
80,understand,VB,O
81,what,WP,O
82,the,DT,O
83,song,NN,O
84,was,VBD,O
85,about,RB,O
86,.,.,O
87, ,VB,O
88,it,PRP,O
89,was,VBD,O
90,later,RBR,O
91,explained,VBD,O
92,that,IN,O
93,the,DT,O
94,song,NN,O
95,was,VBD,O
96,about,IN,O
97,Cannabis,NNP,I-MISC
98,(,(,O
99,',POS,O
100,can,MD,O
101,of,IN,O
102,this,DT,O
103,',POS,O
104,sounding,VBG,O
105,like,IN,O
106,Cannabis,NNP,I-MISC
107,when,WRB,O
108,said,VBD,O
109,faster,RBR,O
110,),),O
111,it,PRP,O
112,is,VBZ,O
113,uncertain,JJ,O
114,if,IN,O
115,they,PRP,O
116,were,VBD,O
117,told,VBN,O
118,to,TO,O
119,change,VB,O
120,the,DT,O
121,lyric,NN,O
122,like,IN,O
123,they,PRP,O
124,did,VBD,O
125,on,IN,O
126,P.O.P,NNP,I-MISC
127,and,CC,O
128,HUMANITY,NNP,I-MISC
129,.,.,O
130, ,VB,O
131,UK,NNP,I-LOC
132,Edition,NNP,O
133,came,VBD,O
134,with,IN,O
135,the,DT,O
